春节对联
四言联
风和日丽  三星在户  百事皆乐  民生有幸
人勤地丰  五业其昌  万象更新  国运无疆
云霞呈秀  门迎百福  天开化宇  金莺报喜
梅柳生辉  户纳千祥  人在春台  玉燕迎春
五言联
阳光凝大地 年丰人益寿 迎春接福日 江山千古秀
春色入人家 春早福盈门 足食丰衣年 祖国万年春
人随春意泰 勤劳能致富 同修富裕路 山河添秀色
事共壮怀成 和睦可生财 共建文明村 大地沐春晖
好景年年好 政通千家福 太平真福贵 春晖盈大地
新春岁岁新 人和万户春 春色大文章 正气满乾坤
淑气芝兰茂 三阳临吉地 国登强盛境 春明有富贵
春风桃李香 五福萃华门 人过富裕年 风静全家安
花随春意发 庆新春肇事 人民歌永泰 一年春作首
福从好运来 祝大业终成 祖国庆长春 百事德为先
半年飞瑞雪 岁月随人好 万里春光美 祖国春如海
好景舞春风 山河照眼明 九州瑞气浓 人民力胜天
梅花开五福 年年歌大有 新风开盛世 红点桃花嫩
竹叶报三多 岁岁颂新康 春色壮神州 青描柳色新
天开新岁月 四海春光好 人民歌大治 党指通天路
人改旧乾坤 九州气象新 祖国庆长安 民怀报国心
神州臻百福 风和催四化 玉堂浮瑞气 共祝升平日
盛世集千祥 政通喜千家 金室耀祥光 同沾大有年
事业随春长 普天开景运 跨峥嵘岁月 龙飞欣晓日
风光逐日新 大地沐春晖 奔锦绣前程 马到庆丰功
日月光天德 有年皆丽日 云霞出海曙 春风舒冻柳
云霞拥地灵 无处不春风 梅柳渡江春 瑞雪兆丰年
和光生柳叶 风助飞雪舞 青山多画意 吟竹诗含翠
春色泛桃花 诗伴落梅吟 春雨润诗情 画梅笔带香
华文春日丽 神州春浩荡 普天开远景 云霞成异彩
瑞色紫云高 寰海日光华 大地焕新风 梅柳动春风
六言联
瑞雪娇梅袅柳  户户金花报喜  祖国河山似锦
新春美酒佳联  家家紫燕迎春  神州大地皆春
四海旌旗映日  国富星辰耀彩  天时地利人和
五湖战鼓催春  政清日月生辉  虎跃龙腾鹏展
风展红旗似画  祖国山青水秀  年丰人寿福满
春来绿水如蓝  中华人杰地灵  柳绿花香春浓
梅报九州春色  国富民强盛世  傲骨高风亮节
旗开一代风流  花香日暖新春  红梅翠竹青松
岁岁三春得意  冬去山明水秀  喜报英雄门第
年年万事开心  春来鸟语花香  春归光荣人家
祖国山河壮美  物阜国强民富  喜看江山如画
神州春意盎然  天时地利人和  展望前程似锦
功业长留天地  欢炮声声报喜  春暖风和日丽
光辉永照人间  红联时时迎春  年丰物阜民欢
新岁新光新景  春种千山绿玉  一院芝兰瑞气
春风春雨春花  秋收万顷黄金  万家杨柳春风
春日人人共乐  山碧千峰竞秀  政清星辰放彩
江山处处皆春  水清百鸟争春  国富日月生辉
虎跃龙骧鹏举  四季时时胜意  大业千帆竞发
花明柳暗春浓  千家事事舒心  明春万象更新
国肇繁荣昌盛  共喜阳回大地  岁岁风调雨顺
民欣长治久安  同歌春到人间  年年物阜民康
劳动创造世界  大地风光旖旎  铁石梅花气概
春天属于人民  神州人物轩昂  山川香草风流
碧海苍山玉宇  百花迎春斗艳  妙手描山绣水
春风丽日神州  群英为国争光  雄心强国富民
细雨无声润物  冬尽梅花点点  梅蕊乐开五福
和风会意迎春  春回爆竹声声  竹风喜报三多
盛世千秋伟业  笑语欢歌辞旧  守法奉公遵纪
神州万里春风  华灯爆竹迎新  尊长爱幼敬贤
芳草满园吐秀  荡荡乾坤不老  春驻笔花万朵
群英遍地生辉  昭昭日月生辉  云描淑景千番
处处春光济美  春自寒梅报到  一刻莫闲岁月
年年人物风流  年从瑞雪迎来  十分珍重年华
雪映一天春碧  万众共迎旭日  东风入春化雨
云浮四海清晖  九州同庆新春  汗水落地生金
桃符春花瑞雪  望烛挑灯思友  田野风光真好
奋燕布谷春风  浓意淡茶迎宾  农家岁月更新
七言联
一元二气三阳泰 春雨多情醉大地 春风放胆采梳柳
四时五福六合春 爆竹知音绽心花 夜雨瞒人去润花
春光明媚百花地 全民共饮新春酒 柳眼桃腮舒化日
祖国富强一统天 举国同迎大治年 莺歌燕舞闹春风
日丽神州舞彩凤 东风送暖千丛绿 松竹梅岁寒三友
霞临华夏飞巨龙 旭日光耀万户春 桃李杏春风一家
