过五关 斩六将
亲贤臣 远小人
鸿门晏 桃园盟
孙行者 祖冲之
言必信 行必果
驿寄梅花 鱼传尺素
花开山寺 咏留诗人
登高极目 览水送归
英雄气短 儿女情长
名扬四海 声震八方
物华天宝 人杰地灵
庆父不死 鲁难未已
成事不足 败事有余
指鹿为马 画地为牢
寿比南山 福如东海
棋逢敌手 将遇良才
功盖天下 誉满山河
鸟宿池边树 僧敲月下门
久旱逢甘雨 他乡遇故知
竹喧归浣女 莲动下渔舟
志士惜日短 愁人嫌夜长
浮云游子意 落日故人情
不才明主弃 多病故人疏
与天地并寿 同日月齐光
长江人钓月 旷野火烧风
仰首接飞猱 俯身散马蹄
斯人千古少 此曲世间无
人生有乐地 流水无尽期
功盖三分国 名成八阵图
惜花春起早 爱月夜眠迟
处处春光好 村村气象新
室有惠崇山水 人怀与可风流
漫步半月溪畔 徘徊六角井傍
坚冰已经打破 航道已经开通
三杯竹叶穿心过 两朵桃花上脸来
游子魂销青塞月 美人肠断翠云楼
庄生晓梦迷蝴蝶 望帝春心托杜鹃
日晚爱行深竹里 月明多上小桥头
桃灼灼 柳依依
雪茫茫 雨霏霏
山抹绿 燕剪柳
清风明月 苍松怪石
十里荷红 三秋桂香
天欲飞霜 云将作雨
烟迷远水 雾锁深山
长烟一空 浩月千里
沙鸥翔集 锦鳞游泳
水流云在 雨到风来
雾失楼台 月迷津渡
乱石穿空 惊涛拍岸
明月如霜 好风似水
千峰凝翠 万峦吐霞
百花含蕾 千枝泛翠
百花吐艳 万木争荣
山清水秀 鸟语花香
苍山如海 残阳如雪
千里冰封 万里雪飘
明月隐高树 长河没晓天
秋风吹渭水 落叶满长安
绿树村边合 青山郭外斜
水流无限阔 山耸有余高
纷纷黄叶坠 对对塞鸿飞
清霜浸碧波 白露下黄叶
蝉噪林愈静 鸟鸣山更幽
半壁见海日 中空闻天鸡
飞星过水白 落月动沙虚
鱼戏新荷动 鸟散余花落
迟日江山丽 春风花鸟香
花草相掩映 云霞共吐吞
桃花飞绿水 野竹上青霄
亭亭山上松 瑟瑟谷中风
郁郁涧底松 离离山上苗
云卷千峰色 梅供一枕香
霜蹄千里骏 风翻九霄鹏
风吹云动星不动 水推船移岸不移
杏花初落疏疏雨 杨柳轻摇淡淡风
缕缕轻烟芳草渡 丝丝微雨杏花村
疏影横斜水清浅 暗香浮动月黄昏
池上碧苔三四点 叶底黄鹂一两声
丝飘弱柳平桥晚 雪点香梅小院春
彩霞照万里如银 素魄映千山似水
茸铺草色春江曲 雪剪花梢玉砌前
亭亭玉树览风立 冉冉香莲带露开
漠漠水田飞白鹭 阳阳夏木啭黄鹂
小院回廊春寂寂 浴凫飞鹭晚悠悠
桃花细逐杨花落 黄鸟时兼白鸟飞
一池芙蓉新出水 千层芳草远浮山
高树夕阳连远巷 小桥流水接平沙
满地绿阳飞燕子 一帘晴雪卷梅花
日照棉球晶闪闪 风吹稻穗浪悠悠
江水流长还绕似青罗带 海蟾轮满澄明如白玉盘
一丝春风要把一株新曲吹绿 一滴春雨要将一朵蓓蕾染红
满招损 谦受益
水不干 鱼不尽
私心重 骨头软
心胸阔 天地宽
朝前看 往前走
明枪易挡 暗箭难防
瓜熟蒂落 水到渠成
偏听则暗 兼听则明
近朱者赤 近墨者黑
浊者自浊 清者自清
金玉其外 败絮其中
以其昏昏 使人昭昭
得道多助 失道寡助
叶多花蔽 云破月来
勤能补拙 俭可助廉
风雨齐猛 水火无情
一芽知春 一叶知秋
动静相宜 虚实相生
晓之以理 动之以情
天来头顶 路在口边
读有字书 识没字理
人同此心 心同此理
拳不离手 歌不离口
十月怀胎 一朝分娩
榜上无名 脚下有路
疾风知劲草 岁寒识松柏
疾风知劲草 事久见人心
疾风知劲草 烈火见真金
草枯鹰眼疾 雪尽马蹄轻
不随时俯仰 自得古风流
古径无人到 深堂有月来
山石不流动 天日自高明
终身争一息 每事必三思
鸟听娇欲语 花看半开时
巢居知风寒 穴处识阳雨
碧从天上得 红自日边来
时危见臣节 世乱识忠良
江暗雨欲来 浪白风初起
惟止乃能动 因昧而为明
淡泊以明志 宁静而致远
春归华不落 风静月长明
直如朱丝绳 清似玉壶冰
花残无戏蝶 藻密有潜鱼
花香风气暖 云淡日光新
欲穷千里目 更上一层楼
勿临渴掘井 宜未雨绸缪
人多出韩信 智多出孔明
潭清疑水浅 荷动知鱼散
风暖鸟声碎 日高花影重
猿声知后夜 花发见流年
海风吹不断 江月照还空
福兮祸所伏 祸兮福所倚
竹雨侵窗润 松风吹面寒
暗飞萤自照 水宿鸟相呼
近水知鱼性 近山识鸟音
若要人不知 除非己莫为
人误地一时 地误人一年
天不言自高 地不语自厚
单丝不成丝 独木不成林
人多力量大 柴多火焰高
山和山不相遇 人与人总相逢
闲逸磨损意志 勤奋陶冶智慧
刀不磨会生锈 人不学要落后
患难时要坚毅 顺利时应谨慎
虚心使人进步 骄傲使人落后
静坐常思己过 闲谈莫论人非
曾经沧海千层浪 又上黄河一道桥
春华不如秋华好 今月常同古月明
明月不能无秋思 故人所在有春风
泽以长流乃称远 由因直上而成高
世事静观知曲折 人心甘苦见交情
鱼鱼入世难为海 燕燕依人别有天
水能性淡为吾友 竹解心虚是我师
知多世事胸襟阔 阅尽人情眼界宽
溪云初起日沉阁 山雨欲来风满楼
欲论古来兴废事 须平自己是非心
莫言前路无知己 但恐此心难对天
云润早含及物意 水清不易在山心
风因得竹若殊遇 水不在山无泪流
天上星多月不明 地下坑多路不平
无言者天此理显 有道之世其日长
读书有味千回少 对客无情一句多
黑发不知勤学习 白发方悔读书迟
酒逢知己千杯少 话不投机半句多
屋漏更遭连夜雨 船破又遇顶头风
世上本无常照月 天边还有再来春
学海无涯勤可渡 书山万仞志能攀
有志始知蓬莱近 无为总觉咫尺远
无可奈何花落去 似曾相识燕归来
书到用时方恨少 事非经过不知难
乱花渐欲迷人眼 浅草才能没马蹄
落魄无心求富贵 运通富贵逼人来
近水楼台先得月 向阳花木易为春
窗外日光弹指过 席前花影坐间移
风定始知蝉在树 灯残方见月临窗
好花偏遇三更雨 明月忽来万里云
年年岁岁花相似 岁岁年年人不同
无边落木萧萧下 不尽长江滚滚来
院小有竹春常在 山间无人水自流
静可观人虚能修已 贤当述古智足察今
天欲飞霜塞上有鸿行已过 云将作雨庭前多蚁阵先排
世事如椇一著争来千古业 柔情似水几时流尽六朝春
千峰竟秀 万壑争流
日月经天 江河行地
芳草有情 夕阳无语
皓月无幽意 清风有泪情
岸花飞送客 樯燕语留人
雨过天愈碧 风来花送香
群鸦恋晚树 孤雁入寥天
樱花红陌上 柳叶绿池边
江山如有待 花柳自无私
有情芍药含春泪 无力蔷薇卧晓枝
长江后浪推前浪 世上今人胜古人
落花有泪因风雨 啼鸟无情自古今
颠狂柳絮随风舞 轻薄桃花逐水流
沧海月明珠有泪 蓝田日暖玉生烟
红雨随心翻作浪 青山着意化为桥
眼界高时无物破 心源开处有波清
山月不知心里事 水风空落眼前花
纵怀花事当春去 畅足清游载月归
千家树色浮山阁 一片冰心在玉壶
无力东风花半露 有情春水燕双飞
多情明月邀君共 无主荷花到处开
石间坐久春云起 花底吟成夕照收
数重山翠疑见胆 一派水清欲留人
苍松翠柏看颜色 秋水春山见性情
帘外淡烟无墨画 林间疏雨有声诗
人得交游是风月 天开图画即江山
一代典章垂涣汗 万年法守仰都俞
野烟有路知依寺 明月无心也进城
山闲水静天无事 竹少兰初日有情
清风能感水能化 修竹有情兰有怀
万里长空开眼界 一川春水润心田
春能蕴藉如相识 风入襟怀只自知
波漾流溪冬月影 风回碣石夏潮声
落絮无声春堕泪 行云有影月含羞
莫学杨柳半年绿 要学松柏四季青
有花有月圆中乐事 无春无夏城外清游
云出人间合而为雨 泉流石上清于在山
观水有情不言自喻 游山寄兴未尽所怀
三江潮涌波澜壮阔 九州音悲石裂天惊
