遥山丽如绮 长流萦似带
海气百重楼 岩松千丈盖
霞处流萦锦 风前漾卷罗
水花翻照树 堤兰倒插波
出红扶岭日 入翠贮岩烟
叠松朝若夜 复岫阙疑全
初风飘带柳 晚雪间花梅
碧林青旧竹 绿沼翠新苔
日晃百花色 风动千林翠
池鱼跃不同 园鸟声还异
峨嵋岫初出 洞庭波渐起
桂白发幽岩 菊黄开灞涘
松阴背日转 竹影避风移
提壶菊花岸 高兴芙蓉池
疏兰尚染烟 残菊犹承露
古石衣新苔 新巢封古树
拂林花乱彩 响谷鸟分声
披云罗影散 泛水织文生
低飞昏岭腹 斜足洒岩阿
泫丛珠缔叶 起溜镜图波
集条分树玉 拂浪影泉玑
色洒妆台粉 花飘绮席衣
岑霞渐渐落 溪阴寸寸生
藿叶随光转 葵心逐照倾
余花攒镂槛 残柳散雕栊
岸菊初含蕊 园梨始带红
朱颜含远日 翠色影长津
乔柯啭娇鸟 低枝映美人
莺啼密叶外 蝶戏脆花心
丽景光朝彩 轻霞散夕阴
暂低逢辇度 还高值浪惊
水摇文鹢动 缆转锦花萦
屈伸烟雾里 低举白云中
纷披乍依迥 掣曳或随风
振鳞方跃浪 骋翼正凌风
未展六奇术 先亏一篑功
罩云朝盖上 穿露晓珠呈
笑树花分色 啼枝鸟合声
荷疏一盖缺 树冷半帷空
侧阵移鸿影 圆花钉菊丛
塞冷鸿飞疾 园秋蝉噪迟
露结林疏叶 寒轻菊吐滋
珠帘烛焰动 绣柱水光浮
云起将歌发 风停与管遒
柳影冰无叶 梅心冻有花
寒野凝朝雾 霜天散夕霞
入牖千重碎 迎风一半斜
不妆空散粉 无树独飘花
寒辞去冬雪 暖带入春风
阶馥舒梅素 盘花卷烛红
冬尽今宵促 年开明日长
冰消出镜水 梅散入风香
新流添旧涧 宿雾足朝烟
雁湿行无次 花沾色更鲜
玉叶依岩聚 金枝触石分
横天结阵影 逐吹起罗文
隔栋歌尘合 分阶舞影连
声流三处管 响乱一重弦
带岫凝全碧 障霞隐半红
仿佛分初月 飘飖度晓风
色含轻重雾 香引去来风
拂树浓舒碧 萦花薄蔽红
逐浪丝阴去 迎风带影来
疏黄一鸟弄 半翠几眉开
映庭含浅色 凝露泫浮光
日丽参差影 风传轻重香
缀条深浅色 点露参差光
向日分千笑 迎风共一香
珠光摇素月 竹影乱清风
彩散银钩上 文斜桂户中
辞枝枝暂起 停树树还低
向日终难托 迎风讵肯迷
细纹连喷聚 乱荇绕蹄萦
水光鞍上侧 马影溜中横
露浓晞晚笑 风劲浅残香
细叶凋轻翠 圆花飞碎黄
云峰衣结千重叶 雪岫花开几树妆
深悲黄鹤孤舟远 独叹青山别路长
镇下千行泪 非是为思人
九龙蟠焰动 四照逐花生
花盖飞团影 幡虹曳曲阴
绮霞遥笼帐 丛珠细网林
泛桂迎尊满 吹花向酒浮
长房萸早熟 彭泽菊初收
阊阖雄里閈 城阙壮规模
贯渭称天邑 含岐实奥区
